Date,Open,High,Low,Close,Volume,Ticker,% Change,Increase,MACD,Closing 50EMA,Volitility,RSI,Low_14,High_14,K_Percent,R_Percent,PROC,OBV
2023-01-24 00:00:00-05:00,29.833590930223878,30.542975490909622,29.833590930223878,30.49371337890625,640300,COLD,0.011046188201620628,1.0,-0.10164043482800467,29.64031268461285,0.14705734347985902,69.63290587919862,27.646319567021372,31.15383763461907,81.1797332760444,-18.82026672395559,0.05093379522962804,3967200
2023-01-25 00:00:00-05:00,30.365629764256862,30.700617397465976,30.237547141784752,30.54297637939453,1351200,COLD,0.0016142097934961537,1.0,-0.08950222700857624,29.70549042455146,5.79996422693586,66.08609004916718,27.646319567021372,31.15383763461907,82.58423068814247,-17.415769311857538,0.007147442142524385,5318400
2023-01-26 00:00:00-05:00,30.542977497498484,31.242509305895027,30.542977497498484,31.23265838623047,1095000,COLD,0.022329537073142093,1.0,-0.11651539098280594,29.810250913922868,0.014283277752527083,82.36584548624334,27.872930500200656,31.242509305895027,99.7076513050263,-0.2923486949737029,0.009875808321472723,6413400
2023-01-27 00:00:00-05:00,31.153837524859853,31.54301274103874,31.1095008699497,31.360740661621094,790600,COLD,0.0040925227294572,1.0,-0.13054625661035646,29.911643978172595,1.7692435088047131,80.72068315139869,28.257179587490672,31.54301274103874,94.45278956964604,-5.547210430353959,0.02084669120406768,7204000
2023-01-30 00:00:00-05:00,31.025753950759157,31.281921089122477,30.5331252721903,30.57253646850586,1623900,COLD,-0.025454708305770252,-1.0,-0.07693174484863441,29.952970341279986,-0.3750022357920469,69.29797477407013,28.37540845391743,31.54301274103874,69.36245235938732,-30.637547640612684,0.008777707723831574,5580100
2023-01-31 00:00:00-05:00,30.602091405955754,31.02575234832013,30.552829292334902,30.946931838989258,2007000,COLD,0.012171756455211643,1.0,-0.05774802744448515,30.01256585416508,0.34210525302796874,68.08681045224844,29.124206313934703,31.54301274103874,75.356403250377,-24.643596749623,0.03017383443965982,7587100
2023-02-01 00:00:00-05:00,30.94693229683927,31.547939863897117,30.799144074561056,31.22280502319336,1295900,COLD,0.008874896657455557,1.0,-0.054731431875912784,30.082314510947093,1.7142770303912052,60.20001050542822,29.675951221585393,31.547939863897117,82.63158048318886,-17.36841951681115,0.041748821554778326,8883000
2023-02-02 00:00:00-05:00,31.498676540100472,31.912484698816147,31.464192683476604,31.636613845825195,1008500,COLD,0.013166357818000875,1.0,-0.07068419618645805,30.168610734646045,0.7499953907240442,58.31521132735566,29.675951221585393,31.912484698816147,87.66524821562109,-12.334751784378902,0.04934643824612772,9891500
2023-02-03 00:00:00-05:00,31.006046094852664,31.44941262497199,30.754806313937806,31.37059211730957,1473900,COLD,-0.008444218567280884,-1.0,-0.05414401635865629,30.233032338124893,-1.2407268023517584,57.583943303763334,29.675951221585393,31.912484698816147,75.77087099194503,-24.22912900805496,0.040182877927257055,8417600
2023-02-06 00:00:00-05:00,31.045458297708908,31.26714156997637,30.720323458126366,31.153837203979492,935600,COLD,-0.006933474932019066,-1.0,-0.021125640079185715,30.28076171421692,-2.022741717101278,60.487148421463736,29.675951221585393,31.912484698816147,66.07931414574657,-33.92068585425344,0.02164786613131464,7482000
